VARIETY,WELY,FROS,NATIVE,GUAISA,FLVE,ROPR,ROSU,DIND,POTR,ALIA,ATTA,DYAN,NEVA,STRO
Rose Nena Light Pink 50cm,,,,1000,,1200,500,,200,,,,,
Rose Nena Light Pink 60cm,,,,,,,,,,,,,,
Rose Nexus Orange 50cm,,,,,,,,,,,,,,
Rose Nexus Orange 60cm,,,,,,,,,,,,,,
Rose Nina Orange 50cm,400,125,,,100,,,,,,,,,
Rose Nina Orange 60cm,400,125,400,,100,,,,,,100,,,
Rose Novia Light Pink 40cm,,,,,,,,,,,,,,
Rose Novia Light Pink 50cm,,,,,100,,,,,,,100,,
Rose Novia Light Pink 60cm,,,,,100,,,,,,,100,,
Rose Ocean Song Light Lavender 40cm,1000,,,,,,,,,,,,,
Rose Ocean Song Light Lavender 50cm,1500,500,200,600,,200,,,,,,200,,
Rose Ocean Song Light Lavender 60cm,500,500,200,600,,300,,,,,,,,
Rose Opala Pink 50cm,200,,,,,,,,,,,,,
Rose Opala Pink 60cm,,,,,,,,,,,,,,
Rose Orange Crush Orange 50cm,1000,,,,,,100,,,,,,,
Rose Orange Crush Orange 60cm,,,200,,,,100,,,,400,200,,
Rose Paloma Bicolor Light Pink 50 cm,,,,,,,,,,,,,,
Rose Paloma Bicolor Light Pink 60 cm,,250,,,,,,,,,,,,
Rose Peach Wave Peach 50cm,,,200,,,,,,,,,,,
Rose Peach Wave Peach 60cm,,,200,,,,,,,,,,,
Rose Phoenix Peach 50cm,,,,,500,200,400,400,200,,,,,
Rose Phoenix Peach 60cm,,,,,500,200,400,400,200,,800,,,300
Rose Piacere Dark Lavender 50 cm,,,,,,,,,,,,,,
Rose Piacere Dark Lavender 60 cm,,,,,,,,,,,,,,
Rose Pink Amaretto Antique Pink 60cm,,,,,,,,,,,,,,200
Rose Pink Champagne Light Pink 50 cm,,,,,,,,,,,,,,
Rose Pink Floyd Hot Pink 40cm,,,,,250,,,,,,,,,
Rose Pink Floyd Hot Pink 50cm,,1500,200,,1000,500,400,500,400,100,,,,400
Rose Pink Floyd Hot Pink 60cm,,1500,200,,1200,500,400,500,400,,,,,800
Rose Pink Floyd Hot Pink 70cm,,500,,,,,,,,,,,,200
Rose Pink Mondial Light Pink 50cm,500,1500,,,500,400,300,500,800,100,,300,,
Rose Pink Mondial Light Pink 60 cm,500,1500,400,,500,400,300,500,800,,,300,100,500
Rose Pink Mondial Light Pink 70 cm,,500,400,1000,,,,,,,,,,200
Rose Playablanca White 40cm,,,,500,,,200,,400,,,,,
Rose Playablanca White 50cm,,1000,,,,500,800,1500,600,,,500,,200
Rose Playablanca White 60cm,,1500,500,,,500,800,1000,600,,400,500,,600
Rose Playablanca White 70cm,,500,,800,,,,,,,800,,,200
Rose Polar Star White 50cm,,,,,,,,400,,,,,,
Rose Polar Star White 60cm,,,,,,,,,,,,,,
Rose Polo White 50cm,,,200,,200,,,200,200,,,,,
Rose Polo White 60cm,,,200,,200,,,200,200,,,,,
Rose PomaRosa Light Pink 50cm,,,,,,,,200,,,,,,
Rose PomaRosa Light Pink 60cm,,,,,,,,,,,200,,,400
Rose Proud White 50cm,,,,,,,,,,,200,,,
